slug,stars,topics,watchers
Azure/azure-xplat-cli,657.0,"['azure-cli', 'azure-api', 'javascript', 'azure-xplat-cli', 'linux', 'nodejs', 'docker']",1980.0
VipWangQiaoqiao/SeaDAS,2.0,[],0.0
K-Wu/peloton-insight,1.0,[],2.0
we-trex-tech/go-eth,0.0,[],0.0
mola/qgis,2.0,[],2.0
teamfx/openjfx-10-dev-rt,3.0,[],4.0
dmitry-urenev/extended-orchard-cms-v10.1,0.0,[],3.0
openchatproject/safeos,2.0,[],0.0
vaidu03/gcp,0.0,[],1.0
deyuhua/istio-dev,0.0,[],1.0
gridgentoo/istio,0.0,[],1.0
SoujanyaMangipudi/istio-mesh,0.0,[],1.0
doitroot/istio,0.0,[],1.0
Keerthi1985/bookinfo,0.0,[],1.0
lewisojile/GoLang-Micro-Service-Tool,0.0,[],1.0
eric4820/dirt,0.0,[],1.0
madhavi2491/istio,0.0,[],1.0
nvkirankumar89/istio,0.0,[],2.0
motherfucker77/Patch1,0.0,[],1.0
anduschain/go-anduschain,5.0,[],4.0
istio/istio,27167.0,"['microservices', 'service-mesh', 'lyft-envoy', 'kubernetes', 'api-management', 'circuit-breaker', 'polyglot-microservices', 'enforce-policies', 'proxies', 'microservice', 'envoy', 'consul', 'nomad', 'request-routing', 'resiliency', 'fault-injection']",1020.0
maistra/istio,55.0,[],15.0
hashicorp/consul,22331.0,[],990.0
qingqibing/go_consul,0.0,[],1.0
qingqibing/consul,0.0,[],1.0
rpi3/BTC-M,0.0,[],2.0
ionic-team/ionic-site,440.0,[],59.0
ikapito/pdf.js,0.0,[],2.0
Ankr-network/dccn-ui,16.0,"['angular', 'stratos', 'edge-computing', 'distributed-computing']",14.0
jetunes/jabRefImproved,1.0,[],1.0
vsergeenko/lab32,1.0,[],1.0
PauloWCB/JabRef,2.0,[],1.0
blackrangersoftware/brs-syscoin-core,0.0,[],1.0
duduoliverio/jabRefImproved,1.0,[],0.0
xinlei87/cloud-compute-over-blockchain-solidity,2.0,[],1.0
jekyll/jekyll,42832.0,"['ruby', 'jekyll', 'static-site-generator', 'blog-engine', 'markdown', 'liquid']",1468.0
evegab/visual,0.0,[],1.0
cinoboli/jeky,0.0,[],0.0
jtlai0921/jekyll,0.0,[],1.0
NickScherer/jekyll-jekyll,0.0,[],1.0
UnaiFdB/higikera,0.0,[],2.0
TransferRNA/nope,0.0,[],1.0
WilJoey/magic-lantern,2.0,[],1.0
arthurbu/marlin_cetus_3d,0.0,[],2.0
tuxedocomputers/mytuxedo-android-client,0.0,[],3.0
oppia/oppia,4190.0,"['education', 'interactive', 'learning', 'python', 'appengine', 'tutor', 'web', 'javascript', 'nonprofit', 'angularjs', 'angular', 'tutorials', 'teaching']",250.0
hidao/cas-demo,0.0,[],1.0
StoDevX/AAO-React-Native,37.0,"['st-olaf', 'android', 'ios', 'react-native', 'javascript']",9.0
dtaht/ns-3-dev,2.0,[],3.0
mahmoudimus/ac,1.0,[],0.0
jostroland/ReactTest,0.0,[],1.0
eSentire/malfeed,12.0,[],16.0
DevOpsTea/SecOpsJuice,1.0,[],2.0
code-saturne/code_saturne,92.0,"['cfd', 'navier-stokes', 'turbulence', 'finite-volume', 'hpc-applications', 'c', 'mpi-applications', 'fortran', 'pyqt']",16.0
Nexenta/cinder-nedge1.1,0.0,[],10.0
brownjordaninternational/OrchardCMS,1.0,[],1.0
sferris/smf-buildroot-panda,0.0,[],1.0
mizanurcse18/material-ui-saved,0.0,[],2.0
dmitryunterov/lab3-2,0.0,[],1.0
HelloWorldDev/dexon,0.0,[],9.0
Berreta/-jabRefImproved,1.0,[],1.0
RuochunWisc/chrono4me751,1.0,[],1.0
T2-ES-DC-UFSCAR-TC/jabRefImproved,1.0,[],2.0
ebe-forks/ltp,0.0,[],3.0
rmutyaba123/eventum,0.0,[],1.0
eventum/eventum,123.0,"['eventum', 'issues', 'support', 'emails', 'symfony', 'php', 'imap', 'pop3', 'smtp', 'hacktoberfest']",20.0
angry-tony/pinpoint,0.0,[],1.0
uncletrunks/OXCE-od,1.0,"['sdl', 'opendingux', 'mips32', 'openxcom']",1.0
mnchikh/OrchardCMS,0.0,[],0.0
jaff521/orchard,0.0,[],1.0
fitspfr/pfr,0.0,[],1.0
azumi-/amnesia,1.0,[],1.0
Mirantis/mos-horizon,7.0,[],6.0
DongPoSu/logging-log4j2-2.12.1,0.0,[],1.0
gcalleft/codenvyjshop,0.0,[],1.0
ontop/ontop,433.0,"['ontop', 'sparql', 'r2rml', 'owl', 'obda', 'java', 'virtual-knowledge-graph', 'vkg']",51.0
aibasel/downward,61.0,"['planning', 'classical-planning']",8.0
RanRuan/React,0.0,[],1.0
T1-ES-DC-UFSCAR-TC/-jabRefImproved,1.0,[],1.0
Dev-JamesR/go-xerom,0.0,[],1.0
BMVAK/web-2,0.0,[],1.0
t4-es-dc-ufscar-tc/jabRefImproved,1.0,[],2.0
airslie/renalware-core,4.0,"['renal', 'ruby', 'rails']",9.0
t10-es-dc-ufscar-tc/JabRefImproved,1.0,[],1.0
scientist-st/meta-openembedded,0.0,[],1.0
jmartinm/invenio-master,0.0,[],0.0
T1-ES-DC-UFSCAR-TCC/JabRefImproved,1.0,[],2.0
T1-ES-DC-UFSCAR-TA/jabRefImproved,1.0,[],1.0
PyRoOP/open,0.0,[],0.0
AppStateESS/phpwebsite,33.0,[],16.0
luochenUmich/Cake-Hbase,0.0,[],1.0
jonmol60/sickrage,0.0,[],1.0
nupinr/dubase,0.0,[],0.0
wiedi/libvirt,15.0,[],3.0
Sberex/go-sberex,0.0,[],0.0
nupin/dubase,0.0,[],1.0
jd0gisme/runelite,1.0,[],1.0
cloudfoundry/cli-ci,0.0,[],16.0
cloudfoundry/cli,1567.0,"['cloud-foundry', 'cli', 'cloud-foundry-cli', 'cf-cli']",236.0
bjc/prosody,492.0,"['xmpp', 'xmpp-server']",48.0
Franc20/Ayesa_Sap,0.0,[],1.0
zoogaezee/youtubeDL,0.0,[],0.0
thatsdone/cinder,0.0,[],1.0
huyvip03121/vlc-android,0.0,[],0.0
apache/lenya,17.0,['lenya'],8.0
daniellucas/queropresente,1.0,[],1.0
wolfSSL/wolfssl,1164.0,"['ssl', 'tls', 'cryptography', 'security', 'openssl', 'tls13', 'dtls', 'https', 'fips', 'cryptography-api', 'embedded-systems', 'encryption', 'iot', 'tls-support', 'trusted-execution-environment', 'openssl-alternative', 'c-library', 'wolfssl', 'cipher-suites', 'openssl-api']",98.0
divx118/kboot,1.0,[],1.0
Lorquas/cp-test,0.0,[],1.0
candlepin/candlepin,68.0,[],18.0
ua-eas/devops-automation-ksd-kc5.2.1-rice,0.0,[],5.0
pose-dev/poseid,0.0,[],0.0
danielgery/JabRef,1.0,[],0.0
dsanmartins/jabRefImproved,1.0,[],2.0
srikanth0327/college,0.0,[],0.0
hannesdh/bootstraptest,0.0,[],1.0
xiaoqingfengATGH/k5-feeds-freifunk,0.0,[],1.0
lbthomsen/openwrt-freifunk,0.0,[],1.0
freifunk/openwrt-packages,19.0,[],20.0
ionic-os/ionic-freifunk,0.0,[],1.0
signumsoftware/framework,158.0,"['signum-framework', 'react', 'typescript', 'entities', 'linq']",33.0
rsksmart/bitcoin,14.0,[],19.0
dijitalxyz/osKAM,0.0,[],0.0
kuba-moo/claws-mail,0.0,[],1.0
architecture-building-systems/CityEnergyAnalyst,109.0,[],17.0
DraganNSDK/ColossusTest,0.0,[],0.0
unicodeveloper/decorator,4.0,[],1.0
RTS2/rts2,31.0,"['telescope', 'observatory', 'control', 'pointing', 'pyastro17']",26.0
kntem/webdeposit,0.0,[],2.0
pecuniaplatform/Diamond,0.0,[],0.0
SilentSword2020/weex,1.0,[],1.0
sameeragayan/angjs,0.0,[],1.0
BlackFoundryCom/Atma,6.0,[],10.0
wyfish/pytest,0.0,[],0.0
supermario2310/bitcoin,0.0,[],2.0
DGtal-team/DGtal,274.0,"['digital-geometry', 'geometry-processing', 'topology', 'computational-geometry', 'discrete-mathematics']",36.0
zahidaliayub/Diamond-DMD,0.0,[],1.0
payperblock/paybchain,0.0,[],1.0
43622283/yuzu,0.0,[],0.0
kushnirenko-remme/core,0.0,[],0.0
Mightyjo/lulzbot_marlin.1,0.0,[],2.0
nishantverma160380/Spring-Cloud-Tutorial,1.0,[],1.0
apache/maven,2601.0,"['maven', 'java', 'build-management', 'apache-maven']",208.0
achut-babu/newsample,0.0,[],1.0
RuchikaL11/sonar_maven_long,0.0,[],1.0
vamshi5590/newsample,0.0,[],1.0
praveensinghdsm/maven,0.0,[],0.0
70Song/Maven-Song,0.0,[],1.0
MooleMuraliDharaReddy/maven-example,0.0,[],1.0
srujantata/Maven-Test-Project,0.0,[],1.0
arjun221-bot/MavenRepo,0.0,[],1.0
MooleMuraliDharaReddy/imported-maven-project,0.0,[],1.0
Avinash-p33/mavenProject,0.0,[],0.0
RuchikaL11/maven,0.0,[],1.0
jeremie-koenig/hurd,5.0,[],3.0
azaratem/alf,0.0,[],0.0
semantic-machines/veda,25.0,"['veda', 'storage', 'javascript', 'ontology', 'xapian', 'enterprise-software', 'platform', 'rust-lang', 'tarantool']",12.0
dehesselle/jhbuild,0.0,[],1.0
zhaomaoer/nodebb,0.0,[],1.0
tsschmidt/cas-management,0.0,[],1.0
diegonc/console-xkb-support,0.0,[],1.0
taqen/ns-3-itetris,1.0,[],0.0
papyrusglobal/papyrus,2.0,[],6.0
aembleton/cinamp,0.0,[],1.0
ag-python/lollipop_PyGObject,0.0,[],0.0
smagill/apache-maven,0.0,[],1.0
mguzman16/ecommerce,0.0,[],1.0
situationsarchive/providence,0.0,[],0.0
lenxvp/pdfium,0.0,[],1.0
MuckRock/muckrock,87.0,"['muckrock', 'foia', 'python', 'django']",15.0
dcadams/cisco_configuration,0.0,[],1.0
melpa/melpa,2208.0,[],92.0
gnosius/collection,0.0,[],0.0
bitspill/slr-copay,1.0,[],2.0
NVSL/NOVA-ltp,0.0,[],18.0
dailei0510/eos,0.0,[],0.0
vijou2/rage,0.0,[],0.0
m4rvin/Mesos_DRFH,0.0,[],1.0
tahirrrhassan/RoundcubeWebSuite,0.0,[],0.0
Look4deepak/Bootstrap,0.0,[],1.0
jack-kim/EOSIO,0.0,[],0.0
nadeermalangadan/pdfjs_old,0.0,[],0.0
panghalamit/go-ethereum,0.0,[],1.0
hongxinli/bookstrap,0.0,[],0.0
